,front,time,el,el_lo,el_hi
0,Draw INNER front,2008-12-12 15:29:37,5.057010650634766,4.5503411293029785,5.564929008483887
1,Draw OUTER front,2008-12-12 15:29:37,,,
2,Draw THIRD front,2008-12-12 15:29:37,,,
3,Draw INNER front,2008-12-12 16:09:36,5.584428787231445,5.0764641761779785,6.093669891357422
4,Draw OUTER front,2008-12-12 16:09:36,,,
5,Draw THIRD front,2008-12-12 16:09:36,,,
6,Draw INNER front,2008-12-12 16:49:37,6.483637809753418,5.993231773376465,6.9947028160095215
7,Draw OUTER front,2008-12-12 16:49:37,,,
8,Draw THIRD front,2008-12-12 16:49:37,,,
9,Draw INNER front,2008-12-12 17:29:37,6.130293369293213,5.660100936889648,6.620981216430664
10,Draw OUTER front,2008-12-12 17:29:37,6.640629291534424,6.091081619262695,7.112635612487793
11,Draw THIRD front,2008-12-12 17:29:37,4.393083095550537,4.024044513702393,4.860700607299805
12,Draw INNER front,2008-12-12 18:09:36,6.365852355957031,5.914865493774414,6.837347030639648
13,Draw OUTER front,2008-12-12 18:09:36,6.719390392303467,6.130446910858154,7.230923652648926
14,Draw THIRD front,2008-12-12 18:09:36,4.411661148071289,4.023083209991455,4.898486614227295
15,Draw INNER front,2008-12-12 18:49:36,6.659948348999023,6.188792705535889,7.151677131652832
16,Draw OUTER front,2008-12-12 18:49:36,7.092620849609375,6.522433757781982,7.6245856285095215
17,Draw THIRD front,2008-12-12 18:49:36,4.742086887359619,4.236217021942139,5.288308620452881
18,Draw INNER front,2008-12-12 19:29:36,7.1519246101379395,6.660195350646973,7.624832630157471
19,Draw OUTER front,2008-12-12 19:29:36,7.782643795013428,7.092868328094482,8.31586742401123
20,Draw THIRD front,2008-12-12 19:29:36,5.0933098793029785,4.528151035308838,5.601321697235107
21,Draw INNER front,2008-12-12 20:09:36,7.329312324523926,6.837251663208008,7.822251796722412
22,Draw OUTER front,2008-12-12 20:09:36,7.960423946380615,7.368715763092041,8.454399108886719
23,Draw THIRD front,2008-12-12 20:09:36,5.4059319496154785,4.878894329071045,5.953951835632324
24,Draw INNER front,2008-12-12 20:49:36,7.821678161621094,7.348439693450928,8.354969024658203
25,Draw OUTER front,2008-12-12 20:49:36,8.335201263427734,7.762480735778809,9.008056640625
26,Draw THIRD front,2008-12-12 20:49:36,5.777115821838379,5.249059200286865,6.306311130523682
27,Draw INNER front,2008-12-12 21:29:36,8.039016723632812,7.58514404296875,8.533113479614258
28,Draw OUTER front,2008-12-12 21:29:36,8.92902660369873,8.27608871459961,9.543362617492676
29,Draw THIRD front,2008-12-12 21:29:36,6.169179439544678,5.640198707580566,6.699250221252441
30,Draw INNER front,2008-12-12 22:09:36,8.434518814086914,7.920833110809326,8.949111938476562
31,Draw OUTER front,2008-12-12 22:09:36,9.028329849243164,8.454292297363281,9.563480377197266
32,Draw THIRD front,2008-12-12 22:09:36,6.424538612365723,5.914664268493652,6.955156326293945
33,Draw INNER front,2008-12-12 22:49:37,8.810150146484375,8.236474990844727,9.34499454498291
34,Draw OUTER front,2008-12-12 22:49:37,9.701967239379883,9.067571640014648,10.25784683227539
35,Draw THIRD front,2008-12-12 22:49:37,6.758127212524414,6.267162322998047,7.250041484832764
36,Draw INNER front,2008-12-12 23:29:36,9.087515830993652,8.612396240234375,9.583076477050781
37,Draw OUTER front,2008-12-12 23:29:36,10.15866756439209,9.622748374938965,10.814496994018555
38,Draw THIRD front,2008-12-12 23:29:36,7.151721477508545,6.601048946380615,7.664074420928955
39,Draw INNER front,2008-12-13 00:09:36,9.385201454162598,8.850300788879395,9.920825958251953
40,Draw OUTER front,2008-12-13 00:09:36,10.357739448547363,9.722367286682129,10.914359092712402
41,Draw THIRD front,2008-12-13 00:09:36,7.585615158081055,7.034046649932861,8.098739624023438
42,Draw INNER front,2008-12-13 00:49:36,9.483741760253906,8.948700904846191,10.059202194213867
43,Draw OUTER front,2008-12-13 00:49:36,10.535992622375488,9.99963665008545,11.271876335144043
44,Draw THIRD front,2008-12-13 00:49:36,7.900683879852295,7.368199825286865,8.414447784423828
45,Draw INNER front,2008-12-13 01:29:36,10.297869682312012,9.642742156982422,10.8544282913208
46,Draw OUTER front,2008-12-13 01:29:36,11.172709465026855,10.556199073791504,11.82976245880127
47,Draw THIRD front,2008-12-13 01:29:36,8.395008087158203,7.940494537353516,8.869832038879395
48,Draw INNER front,2008-12-13 02:09:36,10.51629638671875,9.920408248901367,11.152661323547363
