EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,BX_GSE_(@_x_component_)_nT,BY_GSE_(@_y_component_)_nT,BZ_GSE_(@_z_component_)_nT
2008-12-14T00:00:00.000Z,0.896000,-2.62000,0.105000
2008-12-14T00:04:00.000Z,0.991000,-2.84600,0.702000
2008-12-14T00:08:00.000Z,0.0360000,-3.04400,0.626000
2008-12-14T00:12:00.000Z,-0.240000,-2.98600,0.769000
2008-12-14T00:16:00.000Z,-1.41400,-2.42100,1.18200
2008-12-14T00:20:00.000Z,-2.17100,-2.13800,1.23700
2008-12-14T00:24:00.000Z,-2.12100,-2.48700,1.03400
2008-12-14T00:28:00.000Z,-1.74400,-2.85100,0.506000
2008-12-14T00:32:00.000Z,-2.16900,-2.38000,0.980000
2008-12-14T00:36:00.000Z,-2.43600,-1.90000,1.35600
2008-12-14T00:40:00.000Z,-1.89700,-2.22500,1.23500
2008-12-14T00:44:00.000Z,-1.96400,-2.31800,1.36300
2008-12-14T00:48:00.000Z,-2.09000,-2.51500,1.09700
2008-12-14T00:52:00.000Z,-1.81700,-2.84700,0.215000
2008-12-14T00:56:00.000Z,-2.52600,-1.86000,1.37300
2008-12-14T01:00:00.000Z,-2.13600,-2.17800,1.32400
2008-12-14T01:04:00.000Z,-2.73600,-1.75400,1.17900
2008-12-14T01:08:00.000Z,-2.70200,-1.77500,1.24300
2008-12-14T01:12:00.000Z,-2.15200,-2.69100,-0.210000
2008-12-14T01:16:00.000Z,-3.00300,-1.49600,1.07900
2008-12-14T01:20:00.000Z,-2.23000,-2.24100,0.293000
2008-12-14T01:24:00.000Z,-1.54800,-2.90000,-0.803000
2008-12-14T01:28:00.000Z,-1.80300,-2.71500,-0.328000
2008-12-14T01:32:00.000Z,-2.97200,-1.62200,0.139000
2008-12-14T01:36:00.000Z,-2.99300,-1.60600,0.215000
2008-12-14T01:40:00.000Z,-1.74500,-2.82300,0.678000
2008-12-14T01:44:00.000Z,-0.272000,-2.72900,1.59300
2008-12-14T01:48:00.000Z,-1.89700,-2.57800,0.247000
2008-12-14T01:52:00.000Z,0.608000,-2.70200,-1.12300
2008-12-14T01:56:00.000Z,-2.51800,-2.27100,0.487000
2008-12-14T02:00:00.000Z,-1.73700,-2.92800,0.577000
2008-12-14T02:04:00.000Z,-2.69100,-1.55400,0.761000
2008-12-14T02:08:00.000Z,-3.65200,-0.606000,1.11100
2008-12-14T02:12:00.000Z,-3.62400,-0.871000,1.09200
2008-12-14T02:16:00.000Z,-3.65200,-0.933000,1.08700
2008-12-14T02:20:00.000Z,-3.57500,-1.00800,1.05200
2008-12-14T02:24:00.000Z,-3.55400,-1.24700,0.914000
2008-12-14T02:28:00.000Z,-3.47700,-1.52100,0.770000
2008-12-14T02:32:00.000Z,-3.10500,-1.96000,0.536000
2008-12-14T02:36:00.000Z,-2.99000,-1.97700,0.581000
2008-12-14T02:40:00.000Z,-2.83800,-2.15200,0.543000
2008-12-14T02:44:00.000Z,-3.04000,-2.16500,0.827000
2008-12-14T02:48:00.000Z,-2.91700,-2.32200,0.837000
2008-12-14T02:52:00.000Z,-2.91800,-2.22500,0.862000
2008-12-14T02:56:00.000Z,-2.44800,-2.54400,0.834000
