EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,BX_GSE_(@_x_component_)_nT,BY_GSE_(@_y_component_)_nT,BZ_GSE_(@_z_component_)_nT
2008-12-14T03:00:00.000Z,-0.875000,-3.44700,0.476000
2008-12-14T03:04:00.000Z,0.206000,-3.65800,0.204000
2008-12-14T03:08:00.000Z,0.572000,-3.42800,0.123000
2008-12-14T03:12:00.000Z,3.43400,-1.48900,-0.790000
2008-12-14T03:16:00.000Z,2.59200,-2.72600,-0.290000
2008-12-14T03:20:00.000Z,2.41000,-2.84800,-0.308000
2008-12-14T03:24:00.000Z,2.33400,-3.00300,-0.107000
2008-12-14T03:28:00.000Z,2.19800,-3.06100,-0.312000
2008-12-14T03:32:00.000Z,2.23200,-2.94100,-0.501000
2008-12-14T03:36:00.000Z,2.54900,-2.73700,-0.413000
2008-12-14T03:40:00.000Z,2.14800,-2.94700,-0.435000
2008-12-14T03:44:00.000Z,2.21400,-3.06500,-0.196000
2008-12-14T03:48:00.000Z,3.36800,-1.96300,-0.840000
2008-12-14T03:52:00.000Z,3.66600,-0.955000,-1.00400
2008-12-14T03:56:00.000Z,3.58700,-1.49300,-0.250000
2008-12-14T04:00:00.000Z,3.87300,-1.09200,-0.308000
2008-12-14T04:04:00.000Z,4.10200,-0.869000,-0.230000
2008-12-14T04:08:00.000Z,4.11700,-0.716000,0.0610000
2008-12-14T04:12:00.000Z,4.07900,-0.729000,0.382000
2008-12-14T04:16:00.000Z,4.08000,-0.962000,0.462000
2008-12-14T04:20:00.000Z,3.87300,-1.61700,0.368000
2008-12-14T04:24:00.000Z,3.54700,-1.81900,0.0950000
2008-12-14T04:28:00.000Z,3.52600,-1.34800,0.537000
2008-12-14T04:32:00.000Z,3.31800,-1.96100,0.614000
2008-12-14T04:36:00.000Z,2.40800,-2.83900,0.301000
2008-12-14T04:40:00.000Z,2.23200,-3.01400,0.364000
2008-12-14T04:44:00.000Z,2.20000,-3.01400,-0.112000
2008-12-14T04:48:00.000Z,2.38400,-2.93100,0.184000
2008-12-14T04:52:00.000Z,2.19500,-2.99800,0.162000
2008-12-14T04:56:00.000Z,2.85300,-2.56400,0.265000
2008-12-14T05:00:00.000Z,3.01400,-2.63500,0.349000
2008-12-14T05:04:00.000Z,2.76100,-2.52400,0.509000
2008-12-14T05:08:00.000Z,1.07700,-3.07100,0.110000
2008-12-14T05:12:00.000Z,0.274000,-2.88000,-0.264000
2008-12-14T05:16:00.000Z,-2.60000,-1.52800,-0.557000
2008-12-14T05:20:00.000Z,-2.30900,-1.81900,-0.927000
2008-12-14T05:24:00.000Z,-1.88400,-2.40900,-0.996000
2008-12-14T05:28:00.000Z,-1.61200,-2.71700,-0.353000
2008-12-14T05:32:00.000Z,-1.84800,-2.35200,-0.657000
2008-12-14T05:36:00.000Z,-1.28500,-2.73700,-0.0260000
2008-12-14T05:40:00.000Z,-1.25300,-2.75900,-0.294000
2008-12-14T05:44:00.000Z,-1.46500,-2.35400,-0.497000
2008-12-14T05:48:00.000Z,-1.32600,-2.14800,-1.28800
2008-12-14T05:52:00.000Z,-0.723000,-2.54100,-0.401000
2008-12-14T05:56:00.000Z,0.869000,-2.69700,0.909000
2008-12-14T06:00:00.000Z,0.641000,-2.78300,0.459000
2008-12-14T06:04:00.000Z,0.754000,-2.73100,0.445000
2008-12-14T06:08:00.000Z,0.496000,-2.60700,0.128000
2008-12-14T06:12:00.000Z,2.72700,-1.68900,0.570000
2008-12-14T06:16:00.000Z,2.65800,-1.86100,0.636000
2008-12-14T06:20:00.000Z,2.60700,-2.01900,0.470000
2008-12-14T06:24:00.000Z,2.63500,-2.07700,0.246000
2008-12-14T06:28:00.000Z,2.49000,-2.31800,0.0390000
2008-12-14T06:32:00.000Z,2.56700,-2.33800,0.0430000
2008-12-14T06:36:00.000Z,2.50700,-2.31000,-0.0640000
2008-12-14T06:40:00.000Z,2.55000,-2.29000,-0.218000
2008-12-14T06:44:00.000Z,2.54800,-2.31300,-0.332000
2008-12-14T06:48:00.000Z,2.62200,-2.19400,-0.386000
2008-12-14T06:52:00.000Z,2.75500,-2.09600,-0.191000
2008-12-14T06:56:00.000Z,2.72800,-2.03600,-0.123000
2008-12-14T07:00:00.000Z,2.98100,-1.71200,-0.0400000
2008-12-14T07:04:00.000Z,3.04700,-1.48600,0.276000
2008-12-14T07:08:00.000Z,2.65900,-1.91600,0.277000
2008-12-14T07:12:00.000Z,2.55300,-2.07600,0.0970000
2008-12-14T07:16:00.000Z,2.40000,-2.26800,-0.260000
2008-12-14T07:20:00.000Z,2.66400,-1.91500,-0.226000
2008-12-14T07:24:00.000Z,2.61100,-1.87900,-0.304000
2008-12-14T07:28:00.000Z,2.54100,-2.07600,-0.511000
2008-12-14T07:32:00.000Z,2.43900,-2.26600,-0.149000
2008-12-14T07:36:00.000Z,0.651000,-2.26600,-0.400000
2008-12-14T07:40:00.000Z,1.48000,-2.33300,0.469000
2008-12-14T07:44:00.000Z,0.507000,-2.74700,0.0150000
2008-12-14T07:48:00.000Z,2.01800,-2.44600,0.184000
2008-12-14T07:52:00.000Z,1.07800,-2.71200,0.272000
2008-12-14T07:56:00.000Z,1.30300,-2.75000,0.374000
2008-12-14T08:00:00.000Z,0.963000,-2.79500,0.552000
2008-12-14T08:04:00.000Z,1.74500,-2.53200,0.998000
2008-12-14T08:08:00.000Z,1.96300,-2.19900,1.35600
2008-12-14T08:12:00.000Z,2.04600,-2.03800,1.35000
2008-12-14T08:16:00.000Z,2.42300,-1.77800,1.18500
2008-12-14T08:20:00.000Z,2.36900,-1.85200,1.33200
2008-12-14T08:24:00.000Z,2.47900,-1.69300,1.47900
2008-12-14T08:28:00.000Z,2.26700,-1.65900,1.29500
2008-12-14T08:32:00.000Z,2.52900,-0.918000,1.60100
2008-12-14T08:36:00.000Z,2.41700,-0.386000,1.86900
2008-12-14T08:40:00.000Z,2.47600,-1.18800,1.33500
2008-12-14T08:44:00.000Z,2.39100,-0.994000,1.54200
2008-12-14T08:48:00.000Z,2.40000,-0.785000,1.57400
2008-12-14T08:52:00.000Z,2.49900,-0.562000,1.52900
2008-12-14T08:56:00.000Z,2.38000,-0.535000,1.40800
2008-12-14T09:00:00.000Z,2.54300,-0.406000,1.51500
2008-12-14T09:04:00.000Z,2.51000,-0.130000,1.46700
2008-12-14T09:08:00.000Z,2.48400,-0.394000,1.30800
2008-12-14T09:12:00.000Z,2.55300,-0.632000,1.25700
2008-12-14T09:16:00.000Z,2.56300,-0.423000,1.32600
2008-12-14T09:20:00.000Z,2.71600,-0.293000,1.17200
2008-12-14T09:24:00.000Z,2.73100,-0.260000,1.08100
2008-12-14T09:28:00.000Z,2.75100,0.0680000,0.951000
2008-12-14T09:32:00.000Z,2.77800,0.0710000,0.926000
2008-12-14T09:36:00.000Z,2.80000,-0.0650000,1.08200
2008-12-14T09:40:00.000Z,2.76000,0.513000,0.883000
2008-12-14T09:44:00.000Z,2.67200,1.02900,0.677000
2008-12-14T09:48:00.000Z,2.91000,0.620000,0.603000
2008-12-14T09:52:00.000Z,2.93000,0.288000,0.714000
2008-12-14T09:56:00.000Z,2.97700,0.235000,0.485000
2008-12-14T10:00:00.000Z,2.96300,0.303000,0.401000
2008-12-14T10:04:00.000Z,2.98000,0.329000,0.377000
2008-12-14T10:08:00.000Z,2.99200,-0.0800000,0.322000
2008-12-14T10:12:00.000Z,3.01800,-0.190000,0.143000
2008-12-14T10:16:00.000Z,3.01900,-0.378000,0.136000
2008-12-14T10:20:00.000Z,3.05300,-0.232000,0.267000
2008-12-14T10:24:00.000Z,3.04900,-0.136000,0.302000
2008-12-14T10:28:00.000Z,3.08800,-0.249000,0.0640000
2008-12-14T10:32:00.000Z,3.08100,-0.138000,0.231000
2008-12-14T10:36:00.000Z,3.02800,-0.0140000,0.369000
2008-12-14T10:40:00.000Z,2.73200,-0.532000,0.207000
2008-12-14T10:44:00.000Z,2.77700,-0.815000,0.328000
2008-12-14T10:48:00.000Z,2.85800,-0.731000,0.131000
2008-12-14T10:52:00.000Z,2.85200,-0.748000,0.230000
2008-12-14T10:56:00.000Z,2.89900,-0.613000,0.294000
2008-12-14T11:00:00.000Z,2.99800,-0.239000,0.370000
2008-12-14T11:04:00.000Z,2.99800,0.00700000,0.374000
2008-12-14T11:08:00.000Z,2.95900,0.409000,0.525000
2008-12-14T11:12:00.000Z,2.95100,0.441000,0.491000
2008-12-14T11:16:00.000Z,3.00700,0.346000,0.503000
2008-12-14T11:20:00.000Z,3.01400,0.340000,0.530000
2008-12-14T11:24:00.000Z,2.96100,0.199000,0.556000
2008-12-14T11:28:00.000Z,2.82500,0.755000,0.326000
2008-12-14T11:32:00.000Z,2.81400,0.817000,0.468000
2008-12-14T11:36:00.000Z,2.88500,0.587000,0.553000
2008-12-14T11:40:00.000Z,2.54700,-1.12500,0.339000
2008-12-14T11:44:00.000Z,2.40400,-1.71400,0.126000
2008-12-14T11:48:00.000Z,2.00300,-1.87700,0.00500000
2008-12-14T11:52:00.000Z,2.27400,-1.54300,0.719000
2008-12-14T11:56:00.000Z,2.63400,-0.665000,0.894000
2008-12-14T12:00:00.000Z,2.59900,-1.16200,0.568000
2008-12-14T12:04:00.000Z,2.33400,-1.23700,0.460000
2008-12-14T12:08:00.000Z,2.08400,-1.48500,0.365000
2008-12-14T12:12:00.000Z,2.00900,-1.53700,0.500000
2008-12-14T12:16:00.000Z,2.30500,-1.45800,0.239000
2008-12-14T12:20:00.000Z,2.25800,-1.50300,0.0660000
2008-12-14T12:24:00.000Z,2.34300,-1.49000,0.219000
2008-12-14T12:28:00.000Z,2.44100,-1.44400,0.0960000
2008-12-14T12:32:00.000Z,2.45800,-1.43000,-0.139000
2008-12-14T12:36:00.000Z,2.30000,-1.51300,-0.704000
2008-12-14T12:40:00.000Z,2.16600,-1.36900,-0.873000
2008-12-14T12:44:00.000Z,2.27300,-1.28800,-0.814000
2008-12-14T12:48:00.000Z,2.37000,-1.06700,-0.858000
2008-12-14T12:52:00.000Z,2.54400,-0.902000,-0.953000
2008-12-14T12:56:00.000Z,2.40600,-0.969000,-1.03200
2008-12-14T13:00:00.000Z,2.50100,-0.891000,-1.03900
2008-12-14T13:04:00.000Z,2.73200,-0.698000,-1.04000
2008-12-14T13:08:00.000Z,2.57700,-0.474000,-1.21200
2008-12-14T13:12:00.000Z,2.41300,-0.375000,-1.30900
2008-12-14T13:16:00.000Z,2.27400,-0.296000,-1.42700
2008-12-14T13:20:00.000Z,2.39300,-0.435000,-1.45600
2008-12-14T13:24:00.000Z,2.43000,-0.505000,-1.50900
2008-12-14T13:28:00.000Z,2.62500,-0.335000,-1.48800
2008-12-14T13:32:00.000Z,2.62700,-0.0640000,-1.29100
2008-12-14T13:36:00.000Z,2.52700,0.245000,-1.20900
2008-12-14T13:40:00.000Z,2.59600,-0.0330000,-1.29100
2008-12-14T13:44:00.000Z,2.71700,-0.135000,-1.19500
2008-12-14T13:48:00.000Z,2.72900,-0.234000,-1.09900
2008-12-14T13:52:00.000Z,2.50900,-0.234000,-1.44100
2008-12-14T13:56:00.000Z,0.877000,-2.46400,-0.598000
2008-12-14T14:00:00.000Z,-0.565000,-2.88000,-0.0830000
2008-12-14T14:04:00.000Z,-1.19600,-2.85600,0.248000
2008-12-14T14:08:00.000Z,-1.18400,-2.94400,0.137000
2008-12-14T14:12:00.000Z,-1.04700,-3.01100,-0.0290000
2008-12-14T14:16:00.000Z,-0.962000,-2.97200,-0.235000
2008-12-14T14:20:00.000Z,-0.544000,-2.91100,-0.578000
2008-12-14T14:24:00.000Z,-0.509000,-3.06100,-0.00600000
2008-12-14T14:28:00.000Z,-0.682000,-3.07600,-0.0270000
2008-12-14T14:32:00.000Z,-0.530000,-3.09400,-0.243000
2008-12-14T14:36:00.000Z,0.420000,-2.87100,-0.692000
2008-12-14T14:40:00.000Z,0.464000,-2.88400,-0.824000
2008-12-14T14:44:00.000Z,0.890000,-2.33600,-0.553000
2008-12-14T14:48:00.000Z,-1.03200,-2.70900,1.24500
2008-12-14T14:52:00.000Z,-1.27700,-2.82300,0.769000
2008-12-14T14:56:00.000Z,-1.18300,-2.89600,0.924000
2008-12-14T15:00:00.000Z,-1.43500,-2.76600,1.03100
2008-12-14T15:04:00.000Z,-1.48400,-2.84400,0.747000
2008-12-14T15:08:00.000Z,-1.38900,-2.91600,0.634000
2008-12-14T15:12:00.000Z,-0.939000,-3.05300,0.521000
2008-12-14T15:16:00.000Z,-0.829000,-3.08500,0.334000
2008-12-14T15:20:00.000Z,-1.65300,-2.87900,0.117000
2008-12-14T15:24:00.000Z,-1.32700,-2.95500,0.00300000
2008-12-14T15:28:00.000Z,-1.10700,-3.12600,-0.213000
2008-12-14T15:32:00.000Z,-1.14700,-3.13800,-0.469000
2008-12-14T15:36:00.000Z,-1.30600,-3.18800,-0.245000
2008-12-14T15:40:00.000Z,0.832000,-2.78300,-1.12200
2008-12-14T15:44:00.000Z,2.14700,-2.28000,-0.852000
2008-12-14T15:48:00.000Z,2.49300,-2.35600,-0.457000
2008-12-14T15:52:00.000Z,2.65200,-2.34900,-0.0860000
2008-12-14T15:56:00.000Z,2.44400,-2.41200,0.310000
2008-12-14T16:00:00.000Z,1.22200,-3.11300,0.300000
2008-12-14T16:04:00.000Z,1.49000,-2.87700,0.381000
2008-12-14T16:08:00.000Z,1.32500,-3.07600,0.413000
2008-12-14T16:12:00.000Z,1.31600,-3.04000,0.688000
2008-12-14T16:16:00.000Z,1.15300,-3.11800,0.702000
2008-12-14T16:20:00.000Z,0.832000,-3.07400,0.966000
2008-12-14T16:24:00.000Z,0.499000,-3.14100,1.02200
2008-12-14T16:28:00.000Z,0.776000,-3.16700,0.695000
2008-12-14T16:32:00.000Z,1.03300,-3.09500,0.803000
2008-12-14T16:36:00.000Z,0.577000,-3.13700,0.614000
2008-12-14T16:40:00.000Z,1.08100,-3.00700,0.712000
2008-12-14T16:44:00.000Z,1.12800,-2.73000,1.15500
2008-12-14T16:48:00.000Z,1.23900,-2.60900,1.27500
2008-12-14T16:52:00.000Z,1.22000,-2.50100,1.42300
2008-12-14T16:56:00.000Z,1.25600,-2.78400,0.743000
2008-12-14T17:00:00.000Z,1.17900,-2.86800,0.489000
2008-12-14T17:04:00.000Z,1.65800,-2.74300,0.337000
2008-12-14T17:08:00.000Z,2.26500,-2.56100,0.228000
2008-12-14T17:12:00.000Z,2.12800,-2.59300,0.189000
2008-12-14T17:16:00.000Z,1.43200,-2.79600,0.529000
2008-12-14T17:20:00.000Z,1.61200,-2.70700,0.634000
2008-12-14T17:24:00.000Z,1.92000,-2.50100,0.531000
2008-12-14T17:28:00.000Z,2.30300,-2.53500,0.447000
2008-12-14T17:32:00.000Z,1.74100,-2.73700,0.277000
2008-12-14T17:36:00.000Z,1.87300,-2.68100,0.0460000
2008-12-14T17:40:00.000Z,1.33300,-2.87500,0.293000
2008-12-14T17:44:00.000Z,1.29900,-2.89800,0.335000
2008-12-14T17:48:00.000Z,1.47100,-2.80000,0.589000
2008-12-14T17:52:00.000Z,1.21800,-2.93000,0.503000
2008-12-14T17:56:00.000Z,1.04900,-2.96000,0.373000
2008-12-14T18:00:00.000Z,1.55100,-2.66300,0.774000
2008-12-14T18:04:00.000Z,1.14400,-2.79300,0.583000
2008-12-14T18:08:00.000Z,-0.514000,-2.91500,0.193000
2008-12-14T18:12:00.000Z,-0.810000,-2.64900,0.0460000
2008-12-14T18:16:00.000Z,-0.653000,-2.70800,0.193000
2008-12-14T18:20:00.000Z,-0.480000,-2.84600,0.156000
2008-12-14T18:24:00.000Z,-0.335000,-2.90300,0.194000
2008-12-14T18:28:00.000Z,-0.257000,-2.84100,0.374000
2008-12-14T18:32:00.000Z,0.598000,-2.64100,0.755000
2008-12-14T18:36:00.000Z,0.317000,-2.79800,0.605000
2008-12-14T18:40:00.000Z,0.314000,-2.82000,0.438000
2008-12-14T18:44:00.000Z,0.435000,-2.87100,0.253000
2008-12-14T18:48:00.000Z,0.0820000,-3.00500,0.113000
2008-12-14T18:52:00.000Z,-0.306000,-2.94100,-0.194000
2008-12-14T18:56:00.000Z,-0.377000,-2.82500,-0.454000
2008-12-14T19:00:00.000Z,-0.508000,-2.92500,-0.489000
2008-12-14T19:04:00.000Z,-0.733000,-2.86400,-0.462000
2008-12-14T19:08:00.000Z,-1.17700,-2.69600,-0.533000
2008-12-14T19:12:00.000Z,-1.38300,-2.39400,-0.651000
2008-12-14T19:16:00.000Z,-0.853000,-2.68400,-0.449000
2008-12-14T19:20:00.000Z,-0.607000,-2.59700,-0.779000
2008-12-14T19:24:00.000Z,-0.613000,-2.55800,-0.850000
2008-12-14T19:28:00.000Z,-0.370000,-2.53000,-0.850000
2008-12-14T19:32:00.000Z,-0.312000,-2.48300,-0.949000
2008-12-14T19:36:00.000Z,-0.266000,-2.61400,-0.776000
2008-12-14T19:40:00.000Z,-0.862000,-2.45800,-0.278000
2008-12-14T19:44:00.000Z,-1.18400,-2.24300,-0.152000
2008-12-14T19:48:00.000Z,-0.445000,-2.56500,-0.188000
2008-12-14T19:52:00.000Z,-0.751000,-2.41400,-0.429000
2008-12-14T19:56:00.000Z,-0.601000,-2.43700,-0.510000
2008-12-14T20:00:00.000Z,-0.688000,-2.38400,-0.418000
2008-12-14T20:04:00.000Z,-1.01300,-2.26500,-0.380000
2008-12-14T20:08:00.000Z,-0.955000,-2.25400,-0.413000
2008-12-14T20:12:00.000Z,-0.843000,-2.29400,-0.463000
2008-12-14T20:16:00.000Z,-0.848000,-2.31700,-0.509000
2008-12-14T20:20:00.000Z,-0.872000,-2.20100,-0.616000
2008-12-14T20:24:00.000Z,-0.987000,-2.17500,-0.580000
2008-12-14T20:28:00.000Z,-0.882000,-2.10000,-0.410000
2008-12-14T20:32:00.000Z,-1.10700,-2.10000,-0.421000
2008-12-14T20:36:00.000Z,-1.31000,-1.80500,-0.321000
2008-12-14T20:40:00.000Z,-0.777000,-1.93600,-0.206000
2008-12-14T20:44:00.000Z,2.61500,-1.15200,1.06100
2008-12-14T20:48:00.000Z,2.71100,-0.894000,1.13200
2008-12-14T20:52:00.000Z,2.83300,-0.842000,1.07700
2008-12-14T20:56:00.000Z,2.66600,-0.806000,0.943000
2008-12-14T21:00:00.000Z,2.37600,-0.989000,0.708000
2008-12-14T21:04:00.000Z,2.36800,-0.698000,0.876000
2008-12-14T21:08:00.000Z,2.36300,-0.745000,0.889000
2008-12-14T21:12:00.000Z,2.44300,-0.650000,0.861000
2008-12-14T21:16:00.000Z,2.56800,-0.546000,0.897000
2008-12-14T21:20:00.000Z,2.58500,-0.425000,0.882000
2008-12-14T21:24:00.000Z,2.64400,-0.565000,0.816000
2008-12-14T21:28:00.000Z,2.47800,-0.830000,1.00300
2008-12-14T21:32:00.000Z,2.44400,-0.865000,0.941000
2008-12-14T21:36:00.000Z,2.49700,-0.815000,0.827000
2008-12-14T21:40:00.000Z,2.45700,-0.875000,0.854000
2008-12-14T21:44:00.000Z,2.38200,-0.957000,0.791000
2008-12-14T21:48:00.000Z,2.54900,-1.02200,0.938000
2008-12-14T21:52:00.000Z,2.43700,-0.996000,0.847000
2008-12-14T21:56:00.000Z,2.40000,-1.00600,0.826000
2008-12-14T22:00:00.000Z,2.37200,-1.00100,0.758000
2008-12-14T22:04:00.000Z,2.45000,-1.10400,0.724000
2008-12-14T22:08:00.000Z,1.86900,-1.13200,0.660000
2008-12-14T22:12:00.000Z,2.85100,-0.514000,0.544000
2008-12-14T22:16:00.000Z,2.91100,-0.668000,0.528000
2008-12-14T22:20:00.000Z,2.70800,-0.643000,0.491000
2008-12-14T22:24:00.000Z,2.50800,-0.687000,0.483000
2008-12-14T22:28:00.000Z,2.51000,-0.596000,0.353000
2008-12-14T22:32:00.000Z,2.05500,-0.764000,0.330000
2008-12-14T22:36:00.000Z,0.566000,-1.60600,0.0260000
2008-12-14T22:40:00.000Z,0.296000,-1.65400,-0.151000
2008-12-14T22:44:00.000Z,0.271000,-1.60000,-0.280000
2008-12-14T22:48:00.000Z,0.415000,-1.80600,-0.111000
2008-12-14T22:52:00.000Z,0.331000,-2.01300,-0.0390000
2008-12-14T22:56:00.000Z,0.573000,-2.02500,-0.0100000
2008-12-14T23:00:00.000Z,0.702000,-2.02500,0.0370000
2008-12-14T23:04:00.000Z,0.601000,-2.05100,0.0260000
2008-12-14T23:08:00.000Z,0.693000,-2.13800,-0.00600000
2008-12-14T23:12:00.000Z,0.741000,-1.95000,-0.137000
2008-12-14T23:16:00.000Z,0.497000,-1.71400,-0.228000
2008-12-14T23:20:00.000Z,0.740000,-1.50600,-0.0930000
2008-12-14T23:24:00.000Z,0.817000,-1.77300,-0.167000
2008-12-14T23:28:00.000Z,0.673000,-2.16600,-0.0330000
2008-12-14T23:32:00.000Z,0.670000,-2.55700,0.0950000
2008-12-14T23:36:00.000Z,0.715000,-2.67700,0.0210000
2008-12-14T23:40:00.000Z,0.00600000,-2.84600,-0.0210000
2008-12-14T23:44:00.000Z,-0.268000,-2.98600,0.0650000
2008-12-14T23:48:00.000Z,0.616000,-2.64900,0.722000
2008-12-14T23:52:00.000Z,0.957000,-2.78900,0.325000
2008-12-14T23:56:00.000Z,1.10500,-2.54000,0.201000
2008-12-15T00:00:00.000Z,-0.652000,-3.12500,0.450000
2008-12-15T00:04:00.000Z,0.0190000,-3.32300,-0.189000
2008-12-15T00:08:00.000Z,-0.389000,-3.29200,0.337000
2008-12-15T00:12:00.000Z,0.0530000,-3.30000,0.313000
2008-12-15T00:16:00.000Z,0.251000,-3.74000,-0.116000
2008-12-15T00:20:00.000Z,0.583000,-3.18400,-1.29200
2008-12-15T00:24:00.000Z,1.02400,-3.02600,-1.10600
2008-12-15T00:28:00.000Z,1.89800,-2.69600,-0.944000
2008-12-15T00:32:00.000Z,1.86300,-2.69000,-1.28200
2008-12-15T00:36:00.000Z,2.23100,-2.59600,-1.38900
2008-12-15T00:40:00.000Z,2.78700,-1.87500,-1.75100
2008-12-15T00:44:00.000Z,2.75900,-1.21600,-2.00800
2008-12-15T00:48:00.000Z,3.38400,-1.39600,-1.52200
2008-12-15T00:52:00.000Z,3.36100,-1.40200,-1.70000
2008-12-15T00:56:00.000Z,3.35000,-1.37500,-1.60700
2008-12-15T01:00:00.000Z,3.31700,-1.04500,-1.85500
2008-12-15T01:04:00.000Z,3.17800,-0.926000,-1.97000
2008-12-15T01:08:00.000Z,3.09700,-0.793000,-2.10400
2008-12-15T01:12:00.000Z,3.03200,-0.647000,-2.07100
2008-12-15T01:16:00.000Z,2.96800,-0.423000,-1.90000
2008-12-15T01:20:00.000Z,2.85600,-0.678000,-1.98700
2008-12-15T01:24:00.000Z,2.75900,-0.935000,-2.12300
2008-12-15T01:28:00.000Z,2.34400,-1.27000,-2.04300
2008-12-15T01:32:00.000Z,1.24600,-1.75500,-2.12300
2008-12-15T01:36:00.000Z,2.14000,-1.26600,-1.88300
2008-12-15T01:40:00.000Z,2.18000,-1.19700,-1.84000
2008-12-15T01:44:00.000Z,2.30100,-0.509000,-2.31100
2008-12-15T01:48:00.000Z,1.35800,-1.50100,-0.960000
2008-12-15T01:52:00.000Z,0.575000,-2.90300,0.0510000
2008-12-15T01:56:00.000Z,0.922000,-2.94700,0.0520000
2008-12-15T02:00:00.000Z,0.970000,-2.99200,-0.134000
2008-12-15T02:04:00.000Z,1.41500,-2.61300,0.0830000
2008-12-15T02:08:00.000Z,-0.166000,-2.83600,-1.24800
2008-12-15T02:12:00.000Z,0.0320000,-2.87300,-1.20700
2008-12-15T02:16:00.000Z,0.995000,-1.62500,-0.0740000
2008-12-15T02:20:00.000Z,2.96800,-0.0460000,2.39100
2008-12-15T02:24:00.000Z,3.27000,-0.0770000,1.91900
2008-12-15T02:28:00.000Z,3.38600,-0.528000,1.89800
2008-12-15T02:32:00.000Z,3.55800,-0.983000,1.48500
2008-12-15T02:36:00.000Z,3.33000,-1.34400,1.13500
2008-12-15T02:40:00.000Z,1.93300,-2.74200,0.206000
2008-12-15T02:44:00.000Z,1.05500,-2.82400,0.853000
2008-12-15T02:48:00.000Z,0.666000,-3.02600,1.22200
2008-12-15T02:52:00.000Z,1.79300,-3.05000,1.23500
2008-12-15T02:56:00.000Z,2.05600,-3.16000,0.856000
2008-12-15T03:00:00.000Z,2.22900,-2.80300,-0.464000
2008-12-15T03:04:00.000Z,2.10400,-2.88900,-0.643000
2008-12-15T03:08:00.000Z,2.05900,-2.59300,-1.77300
2008-12-15T03:12:00.000Z,1.48500,-3.16500,-0.327000
